City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Bridlington,GB,54.0831,-0.1919,37.99,81,99,5.99,overcast clouds
283,Umm Lajj,SA,25.0213,37.2685,76.23,28,0,13.31,clear sky
284,Galveston,US,29.3669,-94.9669,66.99,88,75,11.5,broken clouds
285,Akom,CM,2.6678,12.7109,85.53,50,20,4.92,few clouds
286,Beryslav,UA,46.8415,33.4284,40.14,70,89,10.36,overcast clouds
287,Ayan,RU,56.45,138.1667,-11.74,81,100,11.97,overcast clouds
288,Haines Junction,CA,60.7522,-137.5108,-22.0,76,79,1.14,broken clouds
289,Poltavka,RU,54.3663,71.7632,13.59,95,100,9.08,overcast clouds
290,Boa Vista,BR,2.8197,-60.6733,75.2,83,75,8.05,broken clouds
291,Kahului,US,20.8947,-156.47,69.8,88,20,12.66,light rain
292,Mogadishu,SO,2.0371,45.3438,84.2,54,20,19.57,few clouds
293,Shimoda,JP,34.6667,138.95,41.0,61,7,1.01,clear sky
294,Winnemucca,US,40.973,-117.7357,28.4,69,1,8.05,clear sky
295,Odweyne,SO,9.4092,45.064,84.47,13,0,6.35,clear sky
296,Hasaki,JP,35.7333,140.8333,42.8,36,20,4.61,few clouds
297,Kabwe,ZM,-14.4469,28.4464,78.64,72,99,4.12,moderate rain
298,Bambanglipuro,ID,-7.95,110.2833,82.2,75,98,6.58,moderate rain
299,Lusambo,CD,-4.9667,23.45,78.46,87,99,3.53,moderate rain
300,Mildura,AU,-34.2,142.15,77.0,41,74,6.33,broken clouds
301,Senges,BR,-24.1128,-49.4636,66.99,52,100,2.04,overcast clouds
302,Henties Bay,NA,-22.116,14.2845,66.22,75,90,9.1,overcast clouds
303,Iqaluit,CA,63.7506,-68.5145,-13.0,70,1,3.44,clear sky
304,Luderitz,NA,-26.6481,15.1594,73.44,50,0,22.44,clear sky
305,Luxor,EG,25.6989,32.6421,66.2,32,0,2.3,clear sky
306,Bajos De Haina,DO,18.4154,-70.0332,72.0,88,75,4.61,broken clouds
307,Assiniboia,CA,49.6334,-105.9845,-7.6,77,0,1.14,clear sky
308,Honningsvag,NO,70.9821,25.9704,27.81,95,100,20.4,light snow
309,Kysyl-Syr,RU,63.8986,122.7617,-49.25,74,54,3.76,broken clouds
310,Ada,US,43.4166,-116.1262,35.6,64,1,10.36,clear sky
311,Souillac,MU,-20.5167,57.5167,86.0,66,75,13.8,broken clouds
312,Murgab,TM,37.4966,61.9714,53.6,40,75,9.22,broken clouds
313,Socorro,US,31.6546,-106.3033,42.8,33,1,10.36,clear sky
314,Caravelas,BR,-17.7125,-39.2481,78.75,74,70,6.33,broken clouds
315,Saint-Leu,RE,-21.15,55.2833,89.6,58,0,27.63,light rain
316,Diffa,NE,13.3154,12.6113,83.75,15,39,14.36,scattered clouds
317,Palmer,US,42.1584,-72.3287,3.99,78,1,3.49,clear sky
318,Nhulunbuy,AU,-12.2333,136.7667,77.0,94,75,5.75,light rain
319,Lesnoy,RU,57.6198,63.0784,16.77,97,69,3.06,broken clouds
320,Vila Do Maio,CV,15.1333,-23.2167,73.4,56,0,19.57,clear sky
321,Itaituba,BR,-4.2761,-55.9836,70.75,98,43,1.59,scattered clouds
322,Mehamn,NO,71.0357,27.8492,25.0,95,100,17.9,light snow
323,Isangel,VU,-19.55,169.2667,78.4,81,12,14.99,few clouds
324,Sawtell,AU,-30.3833,153.1,77.0,83,90,8.05,overcast clouds
325,Harper,LR,4.375,-7.7169,81.48,81,21,6.24,light rain
326,Nemuro,JP,43.3236,145.575,19.4,73,20,8.05,few clouds
327,Porangatu,BR,-13.4408,-49.1486,71.19,95,39,1.83,scattered clouds
328,Pekan,MY,3.4836,103.3996,82.4,78,40,6.91,scattered clouds
329,Xuanhua,CN,40.6103,115.0447,34.09,67,0,7.72,clear sky
330,Rodrigues Alves,BR,-7.738,-72.6509,70.27,97,94,1.03,overcast clouds
331,Ewa Beach,US,21.3156,-158.0072,73.4,78,1,3.44,light rain
332,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,58,100,8.95,light snow
333,Palagonia,IT,37.3283,14.7448,55.4,50,40,17.27,light rain
334,Viedma,AR,-40.8135,-62.9967,57.0,70,20,5.23,few clouds
