City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Coahuayana,MX,2022-01-21 05:50:36,18.7333,-103.6833,68.76,88,59,3.44
151,Port Moresby,PG,2022-01-21 05:50:37,-9.4431,147.1797,89.02,55,20,11.5
152,Bargarh,IN,2022-01-21 05:50:37,21.3333,83.6167,75.4,34,0,2.59
153,Vardo,NO,2022-01-21 05:50:37,70.3705,31.1107,23.2,74,98,25.08
154,Kharp,RU,2022-01-21 05:50:38,66.8014,65.8081,13.1,96,100,6.69
155,Jeremie,HT,2022-01-21 05:50:38,18.65,-74.1167,74.75,79,1,3.8
156,Liverpool,GB,2022-01-21 05:50:38,53.4106,-2.9779,40.77,92,90,3.44
157,Carnarvon,AU,2022-01-21 05:45:50,-24.8667,113.6333,98.67,30,0,16.11
158,Kaitangata,NZ,2022-01-21 05:50:39,-46.2817,169.8464,62.92,65,89,9.93
159,Itaituba,BR,2022-01-21 05:50:39,-4.2761,-55.9836,72.36,93,81,1.79
160,Hambantota,LK,2022-01-21 05:50:40,6.1241,81.1185,81.97,56,84,1.99
161,Sisak,HR,2022-01-21 05:50:40,45.4661,16.3783,31.17,91,100,2.55
162,Sakakah,SA,2022-01-21 05:50:41,29.9697,40.2064,33.37,50,0,2.1
163,Alta Floresta,BR,2022-01-21 05:50:41,-9.8756,-56.0861,70.12,98,95,1.52
164,Kitami,JP,2022-01-21 05:50:41,43.8031,143.8908,27.12,83,100,15.57
165,Talas,TR,2022-01-21 05:50:42,38.6908,35.5538,2.07,85,1,0.0
166,Marshfield,US,2022-01-21 05:50:42,44.6689,-90.1718,-4.27,71,0,0.0
167,Tuktoyaktuk,CA,2022-01-21 05:50:43,69.4541,-133.0374,-20.2,76,40,14.97
168,Atuona,PF,2022-01-21 05:50:43,-9.8,-139.0333,78.91,76,77,25.05
169,Cidreira,BR,2022-01-21 05:50:43,-30.1811,-50.2056,76.19,93,33,14.83
170,Pizarro,CO,2022-01-21 05:50:44,4.9533,-77.366,76.15,93,89,6.26
171,Kambove,CD,2022-01-21 05:50:44,-10.8764,26.5969,64.08,93,99,2.3
172,Cherskiy,RU,2022-01-21 05:50:45,68.75,161.3,-40.77,99,26,2.3
173,Grand Gaube,MU,2022-01-21 05:50:45,-20.0064,57.6608,84.6,84,32,7.0
174,Saint-Joseph,RE,2022-01-21 05:50:46,-21.3667,55.6167,80.98,76,34,5.39
175,Carballo,ES,2022-01-21 05:50:46,43.213,-8.691,49.87,79,0,8.34
176,Rio Grande,BR,2022-01-21 05:50:46,-32.035,-52.0986,77.95,96,33,11.07
177,Khani,GE,2022-01-21 05:50:47,41.9563,42.9566,22.57,84,94,5.61
178,Gotsu,JP,2022-01-21 05:50:47,35.0,132.2167,42.94,61,100,12.75
179,Daru,PG,2022-01-21 05:50:48,-9.0763,143.2092,83.7,76,99,6.67
180,Srednekolymsk,RU,2022-01-21 05:50:48,67.45,153.6833,-42.59,99,51,5.41
181,Dong Hoi,VN,2022-01-21 05:45:51,17.4833,106.6,70.57,84,100,4.45
182,Portland,US,2022-01-21 05:50:29,45.5234,-122.6762,47.25,88,75,1.01
183,Longyearbyen,SJ,2022-01-21 05:50:49,78.2186,15.6401,0.25,92,49,4.09
184,Kaeo,NZ,2022-01-21 05:50:49,-35.1,173.7833,70.92,51,51,3.67
185,Klaksvik,FO,2022-01-21 05:50:49,62.2266,-6.589,47.66,85,100,22.24
186,Dicabisagan,PH,2022-01-21 05:50:50,17.0818,122.4157,74.89,89,99,3.6
187,Olafsvik,IS,2022-01-21 05:50:50,64.8945,-23.7142,42.84,88,100,32.7
188,Kathmandu,NP,2022-01-21 05:48:00,27.7167,85.3167,55.2,55,95,2.42
189,Asfi,MA,2022-01-21 05:50:51,32.2994,-9.2372,56.1,56,38,11.41
190,Cheney,US,2022-01-21 05:50:51,47.4874,-117.5758,36.99,96,100,4.61
191,Koulamoutou,GA,2022-01-21 05:50:51,-1.1303,12.4736,71.17,89,70,0.85
192,Lasa,IT,2022-01-21 05:50:52,46.6166,10.7002,29.62,94,52,9.31
193,Mapiri,BO,2022-01-21 05:50:52,-15.25,-68.1667,67.06,99,98,2.13
194,Mar Del Plata,AR,2022-01-21 05:49:10,-38.0023,-57.5575,73.09,100,100,3.0
195,Caravelas,BR,2022-01-21 05:50:53,-17.7125,-39.2481,73.8,92,5,2.71
