City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
26,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
27,Butaritari,KI,81.34,broken clouds,3.0707,172.7902,Isles Sunset Lodge
28,New Norfolk,AU,64.99,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
29,Kapaa,US,71.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
30,Port Alfred,ZA,75.0,broken clouds,-33.5906,26.891,The Halyards Hotel
31,Kavieng,PG,83.79,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
32,Vao,NC,76.69,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
33,Ribeira Grande,PT,62.6,mist,38.5167,-28.7,Quinta da Meia Eira
34,Mar Del Plata,AR,61.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
35,Yenagoa,NG,88.38,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
36,Chuy,UY,70.63,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
37,Hilo,US,66.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
38,Nouadhibou,MR,64.4,clear sky,20.930999999999997,-17.0347,El Medina
39,Mahebourg,MU,86.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Booue,GA,85.91,broken clouds,-0.0921,11.9385,Splendeur de l'équateur
41,Trelew,AR,61.59,broken clouds,-43.248999999999995,-65.3051,Hotel Touring Club
42,Cape Town,ZA,73.0,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
43,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
44,Ponta Do Sol,PT,62.01,clear sky,32.6667,-17.1,Hotel do Campo
45,Tuatapere,NZ,55.18,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
46,Marawi,PH,82.0,overcast clouds,7.9986,124.2928,Derogongan Residence
47,Baghmara,IN,76.75,clear sky,23.795,86.2085,Shankar tea shop
48,Lagoa,PT,61.86,broken clouds,39.05,-27.9833,Casa Das Faias
49,Mataura,NZ,55.67,overcast clouds,-46.1927,168.8643,Ellie's Villa
50,Puerto Escondido,MX,74.93,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
51,Faanui,PF,81.82,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
52,Kulhudhuffushi,MV,82.29,clear sky,6.6221,73.07,Haajy Guest House 1
53,Calvinia,ZA,78.8,clear sky,-31.4707,19.776,Die Lemoenhuis
54,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
55,Richards Bay,ZA,88.12,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
56,Silveira,PT,59.0,overcast clouds,39.1112,-9.3643,Hotel Apartamento Praia Azul
57,Lima,PE,71.01,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
58,Puerto Ayora,EC,77.0,few clouds,-0.7393,-90.3518,Castillo Galapagos
59,Yeppoon,AU,78.8,few clouds,-23.1333,150.7333,Villa Mar Colina
60,Bonthe,SL,82.69,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
61,Geraldton,AU,89.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
62,Duiwelskloof,ZA,81.14,light rain,-23.6934,30.14,Silvermist Guesthouse
63,Peniche,PT,57.99,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
64,Esperance,AU,77.0,clear sky,-33.8667,121.9,Hospitality Esperance
65,Lebu,CL,54.73,clear sky,-37.6167,-73.65,Hostal Las Lilas
66,Bima,ID,81.18,overcast clouds,-8.4667,118.7167,Lambitu Hotel
67,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
68,Atlantis,ZA,73.0,overcast clouds,-33.5667,18.4834,Sunrise Farm
69,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
70,Sao Joao Da Barra,BR,77.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
71,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
72,Marechal Deodoro,BR,77.0,broken clouds,-9.7103,-35.895,santoriniflats
73,Denpasar,ID,84.2,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
74,Santiago,CL,64.0,scattered clouds,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
75,Kattivakkam,IN,86.0,few clouds,13.2167,80.3167,Raj's villa
76,Kinkala,CG,78.8,scattered clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
77,Iranshahr,IR,75.2,clear sky,27.2025,60.6848,نیک سرشت
78,Asyut,EG,64.4,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
